label_text,color,l,h,w,x,y,z,r
 ,Magenta,0.0907126804398462,0.03835007428214906,0.04056257946937073,-0.002950005756279266,-0.023108380347372497,0.6952180556492166,-1.5615927
 ,Magenta,0.09735019307094374,0.04007091230122536,0.03957924513307998,-0.10767521532426655,-0.017822950963391006,0.16446282599527207,-2.4315927
 ,Magenta,0.08260016044317758,0.036629239193640244,0.04007091230122536,-0.11332939361907333,-0.020281291199969107,0.2556671618809937,-2.4215927
 ,Magenta,0.10054603552502364,0.03466256759049126,0.03933341154900729,-0.11382106078721871,-0.02003545615061268,0.344659024815736,-2.4415927
 ,Magenta,0.09636685873465299,0.03367923325420051,0.040316745885298044,0.1814253608796924,-0.03036047400808426,1.2512941737683227,1.5615927
 ,Magenta,0.08899183949020242,0.0339250668382732,0.03613757202549487,0.1595461425915484,-0.028025057889961215,0.4587259016036225,1.5715927
 ,Magenta,0.10054603552502364,0.036629239193640244,0.0390875779649346,-0.10988771171978577,-0.019297953933110873,0.6084387008322634,-2.4415927
 ,Magenta,0.0995627011887329,0.03441673400641857,0.04007091230122536,-0.09980852891167061,-0.019666705774503645,0.773393170551141,-2.3315928
 ,Magenta,0.11037937888793115,0.041054246637516105,0.04130008022158879,0.27680888527805464,-0.0256896359107032,1.279319214074879,1.5515927
 ,Magenta,0.10325019908868824,0.04007091230122536,0.038841744380861916,0.27557971149655625,-0.02863963891957545,1.4408320253390088,1.5415927
 ,Magenta,0.07252097763506243,0.03613757202549487,0.031712561651051525,0.37784657624895374,-0.02790213816735739,1.4740195533276867,1.5815928
