label_text,color,l,h,w,x,y,z,r
 ,Magenta,0.11100238977922162,0.04133882126158513,0.04389060304099443,-0.4047195983457868,-0.02347636913598128,1.1600919175022815,-1.2472593
 ,Magenta,0.10079527427887656,0.036490440237192015,0.04338024668511257,-0.6018830292217462,-0.02266096737572546,0.9649123948365541,0.22387886
 ,Magenta,0.09441582999548394,0.03827668893494004,0.03725597622317632,0.10333929861147151,-0.02462122132703603,0.2037740186120544,1.4309256
 ,Magenta,0.1155955998864814,0.050270050228710096,0.047718271353623824,-0.07183995202374344,-0.02053638101870529,1.2564979697062657,1.4744799
 ,Magenta,0.09543654270724765,0.03929739874238073,0.04159400089168758,-0.29128294440993746,-0.024032066330853193,1.129914467733222,-2.2038915
 ,Magenta,0.1002849266359638,0.0362352635114126,0.04286988742490768,0.4312569787397234,-0.03033368782648308,0.958817219882737,-1.7189217
 ,Magenta,0.09339511728372021,0.03189723884290135,0.04440095649255326,0.011546446970165604,-0.027639995015159357,0.3689044625866687,-1.7303038
 ,Magenta,0.10947132361589908,0.0362352635114126,0.04286988742490768,-0.14781354569569846,-0.024731934120957238,0.5098330898101069,1.0294039
 ,Magenta,0.09900903429409764,0.04414577976677384,0.04312506995933316,0.1779449329014947,-0.022837211862344494,0.40294284968867145,0.5074506
 ,Magenta,0.09365029691382266,0.03674562277161749,0.04133882126158513,-0.06703818828831226,-0.026662335987999206,1.0352268453799014,1.4369261
 ,Magenta,0.12069915763665393,0.06328412423424386,0.04618720228597825,0.5755811081045352,-0.01803206749490586,1.013595447449021,-1.6951404
 ,Magenta,0.11202309668233928,0.037511155853278765,0.04338024668511257,0.04565035559973555,-0.02556599180019923,0.5281740059203951,1.5778091
 ,Magenta,0.08854673916365013,0.036490440237192015,0.04133882126158513,-0.01693087453980653,-0.026713823826683233,0.88924990063033,-0.88063
