label_text,color,l,h,w,x,y,z,r
 ,Magenta,0.0753173040107343,0.03789402000319292,0.03907085195773038,-0.016240294095782884,0.039776953273010555,0.5886518300202362,-1.59
 ,Magenta,0.08708563426889741,0.03295132150902018,0.03554035341592087,-0.17487735914028651,0.04424891577153176,1.1191680993521484,1.55
 ,Magenta,0.0953234740198424,0.034363521461383405,0.03907085195773038,-0.11085766010485229,0.040247686590464966,1.4244385204723784,1.56
 ,Magenta,0.09132223680418422,0.03506962009846646,0.03671718537045833,0.3259827192265894,0.0337574990162232,0.7446998350367694,-1.56
 ,Magenta,0.0920283381194644,0.03365742014610323,0.03648181737263256,-0.025184225788318103,0.040607312222043834,0.7425815310909288,-1.55
 ,Magenta,0.10567959093465666,0.03930621727735902,0.039541582596987666,-0.2605507854222293,0.04507102051702967,0.9694748776196751,1.59
 ,Magenta,0.09626493529835696,0.03271595351119441,0.03789402000319292,-0.11226986273541265,0.042184028467324254,0.9607663232986555,-2.54
 ,Magenta,0.09579420465909967,0.03506962009846646,0.0369525533682841,0.05460504339913452,0.03893611453863207,0.9489980251788579,-1.56
 ,Magenta,0.09438200202853933,0.036011086733375275,0.03907085195773038,-0.1899408252988276,0.043769679178209474,0.8336683436551476,1.61
 ,Magenta,0.09602956462233407,0.03742328668573851,0.03860011864027597,0.3928268128103558,0.032237571262754595,1.132583938640164,-2.89
 ,Magenta,0.10567959093465666,0.03930621727735902,0.039541582596987666,-0.25325443373177015,0.04527890217777448,0.3415169053115993,1.6
 ,Magenta,0.10238445503427866,0.034834254778837816,0.03554035341592087,0.23418974107035936,0.03570978955695437,0.4540221601486118,2.45
 ,Magenta,0.09932468980992357,0.04495501708681193,0.03907085195773038,-0.07437584273221973,0.04189165236552252,0.1598139036945339,1.51
 ,Magenta,0.08637953831001148,0.03624645205300392,0.03836475332064732,-0.013886627508510836,0.040314660265938364,0.8722685774579,-1.58
 ,Magenta,0.0753173040107343,0.03789402000319292,0.03907085195773038,0.011768328919064553,0.04004388382393961,0.4606123676726368,-1.55
 ,Magenta,0.10591496161067955,0.03648181737263256,0.040247686590464966,-0.13392357926913273,0.04275845086462143,0.6879764769790058,1.58
