label_text,color,l,h,w,x,y,z,r
 ,Magenta,0.15589466851435213,0.07747492670557347,0.0798369699787582,0.23450324980392456,-0.04535118010556656,1.9546915845361994,-1.5906012
 ,Magenta,0.17715304142749938,0.07322325322597838,0.071333623019568,-0.1040885644810938,-0.04720234750417741,1.6516767534010517,-4.656122
 ,Magenta,0.21211123333712184,0.07889214936038125,0.07936455691198385,-0.45308437524487355,-0.04562253758611609,1.7262690542565828,-4.6598606
 ,Magenta,0.18896324124790773,0.08408864345835329,0.08125419263356598,-0.18467720273312496,-0.043876847847265206,1.9840868322759495,-4.7059975
 ,Magenta,0.1596739399575164,0.0708612154679654,0.07227843812277318,-0.15045904759955014,-0.04090016901574744,0.3349458886644777,-4.725377
 ,Magenta,0.17951507918551235,0.07369566077758097,0.0708612154679654,0.286337745941363,-0.042282122147200195,0.9993359733210404,-3.0641334
 ,Magenta,0.16061875506072157,0.06849917770995242,0.06849917770995242,-0.3485445373503314,-0.048404908644047805,1.350445043475437,-4.6157694
 ,Magenta,0.20691475026949332,0.06094064585396742,0.07416807384435531,-0.4507610760532477,-0.05623874684355689,2.0117071653817344,-4.6636133
 ,Magenta,0.2083319729243011,0.07180603057117059,0.07747492670557347,0.21997251503126966,-0.0410261079627079,0.5904788633910487,-1.5133944
 ,Magenta,0.21258364088872445,0.07653011160236828,0.07700251915397087,0.018477018025610865,-0.04377809869704287,1.394796289851307,-1.5467535
 ,Magenta,0.1814047093919227,0.09070235469596136,0.08692309428314061,-1.2467086337410618,-0.04130325085842545,1.6761282894249183,-4.7027082
 ,Magenta,0.17242896591147344,0.06802677015834983,0.08030937753036078,-0.12703172309143287,-0.04485762462788032,0.7850696976521074,-4.6536045
 ,Magenta,0.20124585965026218,0.0703888079163628,0.07416807384435531,0.35311343799393874,-0.04484871762550059,1.1850545728450943,-6.15359
