x,y,z,r,g,b
-0.19614388,-0.009141235,0.43251064,40.428596,180.42857,168.57141
-0.24257128,0.019313738,0.4589909,30.714289,178.71428,174.2857
0.024184212,0.052195888,0.21299882,53.0,42.0,135.0
0.086178735,0.053497244,0.37913057,15.857143,101.42857,219.57143
-0.22696173,0.018727526,0.45525804,15.000001,168.0,191.57143
0.07655508,0.053908315,0.1913145,59.857143,183.85715,157.14285
0.0814382,0.053362165,0.18053788,154.14285,189.85715,111.71429
-0.11830142,0.054445174,0.34841192,69.57145,185.57143,151.42856
0.08358931,0.05360298,0.28760475,53.0,42.0,135.0
0.25062042,0.058107153,0.42061576,40.428596,180.42857,168.57141
0.04633815,0.05303261,0.23128714,53.0,42.0,135.0
0.13935025,0.016088152,0.41827467,53.0,42.0,135.0
0.42213276,0.053252768,0.39017865,132.42857,189.57143,121.14286
0.12453527,-0.016051775,1.8962389,53.0,42.0,135.0
0.42069304,0.032057934,0.45590913,199.28574,187.14285,92.71428
0.022740478,0.05518452,0.73759824,53.0,42.0,135.0
-0.018400379,0.05428696,0.52950424,11.714284,142.7143,210.85715
-0.16178298,0.055352207,0.50624704,11.000006,162.00002,199.2857
0.19321424,0.05402329,0.20522444,40.428596,180.42857,168.57141
-0.050155617,0.05471001,0.50018466,15.428571,96.71428,220.28572
-0.21164836,0.043354515,0.697889,8.57143,151.57143,208.28572
0.4912589,0.052792013,0.48233894,232.71428,191.0,71.714294
0.06558481,0.052252553,0.2063062,25.857136,77.714294,196.42859
0.0022074885,0.053032123,0.24325998,16.285713,106.14285,218.85715
0.2827591,-0.023435248,0.4128393,244.28574,200.00002,56.28569
0.2725949,0.039167617,0.8234363,8.57143,151.57143,208.28572
0.16043764,0.022438562,0.4304913,53.0,42.0,135.0
0.23108579,0.055684976,0.40971223,173.57143,189.28572,103.42857
-0.2296603,0.03475761,0.80763185,53.0,42.0,135.0
0.23877415,0.055447068,0.5120831,40.428596,180.42857,168.57141
-0.09337621,0.053201415,0.21387699,53.0,42.0,135.0
0.24324924,0.054904852,0.37181464,99.85716,189.14285,135.2857
0.05087414,0.053280443,0.2914488,53.0,42.0,135.0
-0.015916508,0.052832846,0.19799787,36.714287,63.428574,171.85715
-0.16334112,0.029957904,1.0869428,53.0,42.0,135.0
-0.18749875,0.04629537,0.41332206,99.85716,189.14285,135.2857
-0.11741405,0.055112213,0.37083596,164.99997,190.0,107.000015
-0.15934114,0.036372844,1.0843531,53.0,42.0,135.0
0.16899106,0.059059933,0.28775468,21.000004,177.0,180.0
0.04596487,0.055131447,1.0220371,16.42857,129.42857,214.71428
0.31488818,0.03655205,0.7087221,13.285711,138.28572,212.14285
-0.21254748,0.030910145,0.50713015,79.28571,187.28572,145.7143
-0.117097475,0.04305947,0.3171365,228.85715,188.0,76.85714
-0.18974459,0.038520657,0.45179254,164.99997,190.0,107.000015
0.054962896,0.053054567,0.23937108,11.714284,142.7143,210.85715
0.09590797,0.028849758,0.6926238,143.28574,189.71428,116.42856
-0.052623592,0.03575253,0.85997623,19.000004,174.0,183.85713
0.1281974,0.060250852,0.2380014,89.0,189.0,140.0
0.05390436,0.0527421,0.18672101,53.0,42.0,135.0
-0.09632137,0.05361836,0.32411802,11.714284,142.7143,210.85715
-0.22833167,0.004221824,0.5253901,190.71428,187.85715,96.28571
0.09741889,0.05240388,1.213409,16.285713,106.14285,218.85715
0.29523897,0.0338932,0.8339723,255.0,255.0,0.0
-0.11261488,0.054379616,0.3678114,154.14285,189.85715,111.71429
0.528706,0.030572344,1.0583959,53.0,42.0,135.0
0.75150913,0.012957583,0.73416096,53.0,42.0,135.0
-0.11975979,0.053468265,0.23504966,248.14287,203.00002,51.14284
-0.23306867,0.02126486,0.4415853,21.000004,177.0,180.0
0.16332334,0.060265888,0.33209327,89.0,189.0,140.0
-0.00955421,0.04580099,0.37395576,11.714284,142.7143,210.85715
-0.24286897,0.0564367,0.7637599,16.285713,106.14285,218.85715
0.6018219,0.02874713,0.9985667,15.857143,101.42857,219.57143
