Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,148,1.2702702702702702,0.6106553258213516,1,4,1.0,1.0,1.0,0.0
X,188,-1.2617552,9.516782,-26.28,34.59,-2.96,-6.429999828338623,3.0899999141693115,9.519999742507935
Y,188,1.6211171,0.47286397,0.24,3.18,1.645,1.2949999570846558,1.8799999952316284,0.5850000381469727
Z,188,37.23452,16.819742,6.47,80.13,36.370003,23.005000114440918,48.989999771118164,25.984999656677246
L,188,5.142180851063829,0.9188406370144188,3.18,6.91,5.0600000000000005,4.4350000000000005,5.87,1.4349999999999996
W,188,1.892340425531915,0.17701980615183063,1.52,2.46,1.88,1.755,2.02,0.2650000000000001
H,188,2.2424468085106386,0.3540275448179342,1.65,2.91,2.14,1.95,2.565,0.615
RY,188,-0.2120744680851064,1.5715697041111591,-3.13,3.13,-1.135,-1.58,1.545,3.125
NPts/Scene,148,15230.364864864865,1798.7115251360942,9971,19194,15199.0,13954.0,16500.0,2546.0
NPts/Obj,151,319.92715231788077,711.7275885169333,10,4801,70.0,35.0,231.5,196.5
NObjsRetained,151,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
NObjsLoss,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NfgPts,128,120.9921875,265.81006776731545,1.0,1686.0,26.0,13.0,78.0,65.0
percentage FgPts,128,2.5201455425952926,5.536556295924088,0.02082899395959175,35.11768381587169,0.5415538429493856,0.2707769214746928,1.6246615288481565,1.3538846073734638
