Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,612,3.5866013071895426,2.571973801033149,1,15,3.0,1.0,5.0,4.0
X,2195,-2.7649703,7.769877,-41.57,36.38,-3.06,-6.829999923706055,2.6600000858306885,9.490000009536743
Y,2195,1.7106651,0.34035653,-0.24,3.55,1.71,1.5499999523162842,1.8700000047683716,0.3200000524520874
Z,2195,25.889523,11.246433,5.37,59.38,25.0,16.6850004196167,34.439998626708984,17.754998207092285
L,2195,3.8708747152619587,0.4228028402304359,2.23,5.24,3.86,3.59,4.16,0.5700000000000003
W,2195,1.6281594533029613,0.09680679439093011,1.2,2.04,1.63,1.57,1.68,0.10999999999999988
H,2195,1.5343097949886104,0.13937548527250615,1.22,2.48,1.5,1.44,1.6,0.16000000000000014
RY,2195,-0.17937129840546695,1.704546023021271,-3.14,3.14,-1.09,-1.58,1.57,3.1500000000000004
NPts/Scene,612,15728.486928104576,1842.9895093376065,9502,20180,15703.5,14584.0,16917.0,2333.0
NPts/Obj,1708,185.71194379391102,261.614602795768,10,2420,80.0,27.0,224.5,197.5
NObjsRetained,1708,0.9979508196721312,0.012045674903112038,0.85,1.0,1.0,1.0,1.0,0.0
NObjsLoss,1708,0.0020491803278688534,0.01204567490311204,0.0,0.15000000000000002,0.0,0.0,0.0,0.0
NfgPts,559,182.00536672629696,193.75217459175437,0.0,994.0,112.0,27.5,268.5,241.0
percentage FgPts,559,3.790988684155321,4.035662874229418,0.0,20.7040199958342,2.3328473234742764,0.5727973338887732,5.592584878150386,5.019787544261613
