Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,125,1.72,1.3891004283348272,1,8,1.0,1.0,2.0,1.0
X,215,-0.76111645,5.3873944,-17.09,19.1,-0.17,-3.774999976158142,2.6850000619888306,6.460000038146973
Y,215,1.4640466,0.22541724,0.64,2.12,1.47,1.399999976158142,1.5850000381469727,0.18500006198883057
Z,215,14.75451,6.967295,5.53,35.54,13.93,8.75,18.824999809265137,10.074999809265137
L,215,0.8651162790697674,0.2323286774940939,0.2,1.29,0.92,0.725,1.0350000000000001,0.31000000000000016
W,215,0.6612093023255814,0.14636503555971617,0.3,1.06,0.64,0.545,0.75,0.20499999999999996
H,215,1.749627906976744,0.10194321795154854,1.48,2.01,1.76,1.69,1.82,0.13000000000000012
RY,215,0.04376744186046512,1.8936744745821952,-3.14,3.14,0.01,-1.58,1.57,3.1500000000000004
NPts/Scene,125,17111.696,1891.1771074079763,11502,19224,17491.0,16108.0,18855.0,2747.0
NPts/Obj,214,198.75233644859813,153.59264417610726,14,700,144.0,79.0,298.5,219.5
NObjsRetained,214,0.9997663551401869,0.0034099344671323453,0.95,1.0,1.0,1.0,1.0,0.0
NObjsLoss,214,0.0002336448598130843,0.0034099344671323457,0.0,0.050000000000000044,0.0,0.0,0.0,0.0
NfgPts,125,93.048,89.25145206661905,5.0,523.0,69.0,32.0,111.0,79.0
percentage FgPts,125,1.9380962299520936,1.8590179559804012,0.10414496979795876,10.893563840866486,1.4372005832118309,0.666527806706936,2.3120183295146846,1.6454905228077485
