Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,177,2.2429378531073447,2.290429205474447,1,12,1.0,1.0,3.0,2.0
X,397,-0.1414358,6.335797,-17.09,20.19,0.51,-4.349999904632568,3.7200000286102295,8.069999933242798
Y,397,1.4708061,0.25546592,0.53,2.6,1.48,1.3700000047683716,1.600000023841858,0.23000001907348633
Z,397,17.951561,10.427981,3.59,55.56,15.85,9.729999542236328,22.860000610351562,13.130001068115234
L,397,0.8239546599496222,0.2520349980888769,0.2,1.44,0.87,0.65,1.01,0.36
W,397,0.6545843828715365,0.1486738728270538,0.3,1.06,0.65,0.54,0.74,0.19999999999999996
H,397,1.761486146095718,0.10434421787062066,1.48,2.01,1.78,1.7,1.82,0.1200000000000001
RY,397,0.108816120906801,1.8541190739798197,-3.14,3.14,0.12,-1.57,1.57,3.14
NPts/Scene,177,16601.389830508473,1998.0942249173322,11451,19224,17008.0,15021.0,18623.0,3602.0
NPts/Obj,371,160.57951482479785,151.66168908512378,10,730,102.0,46.5,246.0,199.5
NObjsRetained,371,0.9983827493261457,0.010893957077068049,0.85,1.0,1.0,1.0,1.0,0.0
NObjsLoss,371,0.0016172506738544486,0.010893957077068049,0.0,0.15000000000000002,0.0,0.0,0.0,0.0
NfgPts,168,97.39285714285714,129.64934556765974,2.0,731.0,64.5,20.5,95.0,74.5
percentage FgPts,168,2.0285952331359542,2.700465435693808,0.0416579879191835,15.225994584461573,1.343470110393668,0.4269943761716309,1.9787544261612164,1.5517600499895856
