Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,91,1.3296703296703296,0.6962212774266883,1,5,1.0,1.0,1.0,0.0
X,121,0.5212397,7.7387652,-21.04,20.38,1.23,-3.569999933242798,7.610000133514404,11.180000066757202
Y,121,1.56281,0.40826422,0.24,2.76,1.62,1.350000023841858,1.8200000524520874,0.4700000286102295
Z,121,23.496365,11.682685,5.09,53.87,22.03,14.609999656677246,31.25,16.640000343322754
L,121,1.7832231404958676,0.14770539628807278,1.21,2.12,1.79,1.7,1.86,0.16000000000000014
W,121,0.6059504132231405,0.11839546082708301,0.34,0.93,0.6,0.55,0.66,0.10999999999999999
H,121,1.7461157024793388,0.08619957527868415,1.55,2.09,1.74,1.7,1.8,0.10000000000000009
RY,121,-0.15330578512396692,1.5729197929616436,-2.97,3.13,-0.57,-1.57,1.54,3.1100000000000003
NPts/Scene,91,15704.494505494506,1857.7934588333806,9502,18896,15912.0,14608.0,17010.0,2402.0
NPts/Obj,111,126.14414414414415,148.32784766737797,10,666,61.0,28.0,172.5,144.5
NObjsRetained,111,0.9981981981981982,0.00931899138089064,0.95,1.0,1.0,1.0,1.0,0.0
NObjsLoss,111,0.0018018018018018033,0.00931899138089064,0.0,0.050000000000000044,0.0,0.0,0.0,0.0
NfgPts,83,53.0722891566265,69.94589701488997,1.0,352.0,23.0,10.0,67.5,57.5
percentage FgPts,83,1.1054423902650805,1.4569026664213698,0.02082899395959175,7.331805873776297,0.47906686107061025,0.20828993959591752,1.4059570922724434,1.197667152676526
