Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,245,2.4244897959183676,1.8158632750208223,1,12,2.0,1.0,3.0,2.0
X,594,-2.6755724,7.772778,-28.29,24.4,-4.455,-6.949999809265137,3.109999895095825,10.059999704360962
Y,594,1.673367,0.31479368,-0.13,3.55,1.69,1.5299999713897705,1.8200000524520874,0.2900000810623169
Z,594,25.93165,10.487649,5.37,54.7,25.255001,18.295000076293945,33.3700008392334,15.075000762939453
L,594,3.8500168350168353,0.4033727750805428,2.43,4.94,3.86,3.57,4.12,0.5500000000000003
W,594,1.6208585858585858,0.10259808578832166,1.29,2.04,1.62,1.56,1.67,0.10999999999999988
H,594,1.5423737373737374,0.14565163590194996,1.22,2.22,1.5,1.45,1.61,0.16000000000000014
RY,594,-0.2706228956228956,1.8040855567783163,-3.14,3.14,-0.765,-1.58,1.55,3.13
NPts/Scene,245,15235.24081632653,1833.32471131263,9971,19535,15299.0,13921.0,16549.0,2628.0
NPts/Obj,410,126.07317073170732,208.75276428652037,10,1701,44.0,19.5,120.0,100.5
NObjsRetained,410,0.9956097560975611,0.018286177705099087,0.85,1.0,1.0,1.0,1.0,0.0
NObjsLoss,410,0.0043902439024390266,0.018286177705099087,0.0,0.15000000000000002,0.0,0.0,0.0,0.0
NfgPts,184,91.95108695652173,121.85960738432568,1.0,612.0,34.0,10.0,121.0,111.0
percentage FgPts,184,1.915248634795287,2.5382130261263423,0.02082899395959175,12.747344303270152,0.7081857946261195,0.20828993959591752,2.5203082691106022,2.3120183295146846
